CVE_ENT,NOM_ENT,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL_5000,PO2SM,IM_2015,GM_2015,IMN_2015,ENTIDAD,NOM_ENT_etq
1,Aguascalientes,1312544,2.60135330015205,29.721797152457,0.681147229693863,0.304154851342315,0.813920146906753,0.752951839769041,21.8622318405905,25.162585025721,34.604084130078,17.883963741272,Bajo,0.807436670757367,Aguascalientes,Aguascalientes
2,Baja California,3315766,1.96160102947101,30.0778409571577,0.26893414434618,0.472493316247665,2.81770524236432,1.14890434104734,23.0322228836172,10.349162154386,22.845515774548,18.4641382892735,Muy bajo,0.833630763536442,Baja California,Baja California
3,Baja California Sur,712029,2.50545082678913,29.4391266440469,0.386484526000296,1.13624022397585,7.14691836144442,4.08364982398305,26.230969820148,15.6188863094059,22.365039369088,17.3205948867913,Bajo,0.782001332213233,Baja California Sur,Baja California Sur
4,Campeche,899931,6.68154732186611,35.7437914707475,4.08561946513364,1.58928746185532,6.48931402715335,2.94920887380072,37.9317830854493,30.8754782311088,40.6939396500718,13.6845553788345,Alto,0.617839087337307,Campeche,Campeche
5,Coahuila de Zaragoza,2954915,1.98787015607382,28.0554748504077,0.620634180862887,0.29076688156414,1.66570295749127,0.657853409452458,23.6179263141485,12.1486404854285,27.9440149349759,18.4009442352074,Muy bajo,0.83077763783316,Coahuila,Coahuila
6,Colima,711235,3.90134899637053,33.7948714514301,0.390444319767532,0.38360956320052,0.957735687485211,2.4468922774725,25.6528807799905,14.4749625651156,31.1779342646652,17.4324510774094,Bajo,0.787051487283045,Colima,Colima
7,Chiapas,5217908,14.9840972447816,53.4005654537931,2.94114202131575,2.48550375529993,13.4457848619921,11.7753967527186,44.460574046607,57.856520275942,62.4633918652968,8.44980122607863,Muy alto,0.381497047816157,Chiapas,Chiapas
8,Chihuahua,3556574,2.66724160407537,33.3086597739798,1.38152305617208,1.80571841411914,2.38877213429939,1.75880869013813,22.159111664878,17.0499193887151,34.7698629578269,16.8217094724845,Bajo,0.759477333403746,Chihuahua,Chihuahua
9,Distrito Federal,8918653,1.48673819071364,20.9893253447175,0.039078540962123,0.0440978568059696,1.09985993432987,0.474265972424894,19.1867939848522,0.666905641468504,28.2618607765951,19.3981446243513,Muy bajo,0.875799880884913,Ciudad de México,Distrito Federal
10,Durango,1754754,3.17413199132073,34.460744777585,3.6973424881329,2.62899716971123,3.25777437041803,4.32791102247169,24.5837597115414,36.1884913782787,39.1608547925608,14.9422356315564,Medio,0.674621642414373,Durango,Durango
11,Guanajuato,5853677,6.38822011736245,41.7690543669152,3.36328864728882,0.676699829341614,4.134265880683,2.00233879068303,25.3617891512194,34.6713868906672,37.4075386650175,15.1076642591183,Medio,0.682090520243637,Guanajuato,Guanajuato
12,Guerrero,3533251,13.7290228588981,48.3168312147146,13.2168154997557,2.3977122183773,15.6419896721792,14.8601748496675,42.1141185814319,49.6807614290635,53.2918950518008,6.92834417383611,Muy alto,0.312805328534263,Guerrero,Guerrero
13,Hidalgo,2858359,8.26314254390603,36.3389701692535,3.11141112267419,1.11524905862764,5.82784988224973,3.19370370578516,28.1651414991982,58.7141083397852,46.2155932633172,13.558748763081,Alto,0.612159089521786,Hidalgo,Hidalgo
14,Jalisco,7844830,3.54770474189122,36.0552870397427,0.871726784471499,0.338153339229131,1.8354328377803,1.58678931905334,22.1244171986821,17.4983524180894,29.3981277039679,17.5845618605123,Bajo,0.793919082524888,Jalisco,Jalisco
15,México,16187608,3.36599480775591,30.0810563228787,1.71047201809961,0.380599681948195,4.02911276988739,1.91857183841604,28.5259240570203,19.1079373802479,35.2768769875248,16.9152814588972,Bajo,0.763701981489498,Estado de México,Estado de México
16,Michoacán de Ocampo,4584471,8.35267900757854,48.9148950452504,2.37411783931053,0.80747713032732,4.2551058167887,5.89515784284905,28.0497260893771,40.5787276220092,44.8802890945895,13.8615939251412,Alto,0.625832137227903,Michoacán,Michoacán
17,Morelos,1903811,4.99254774336242,32.662157064775,1.05585589224214,0.439248130984993,5.81455327893013,3.87926988128451,27.0432791188439,24.6541279570293,42.0758084126048,16.0907780822188,Medio,0.726476773972606,Morelos,Morelos
18,Nayarit,1181050,5.06722497816365,34.3522126612834,4.71736504464182,2.53899494761114,4.36155477606905,3.91756022790795,27.6302436997311,39.144659413234,37.9625968949204,14.0303926391148,Alto,0.633453169880994,Nayarit,Nayarit
19,Nuevo León,5119504,1.64296130072884,24.446504911541,0.161359897763072,0.121928206090935,1.36357526908055,0.801975737671179,23.0940482317794,6.69660576493348,16.1476499020361,19.2261232040888,Muy bajo,0.868033347420348,Nuevo León,Nuevo León
